No.,Page,Source PDF,Question,Choice A,Choice B,Choice C,Choice D,Choice E if there is,Correct Answer,Explanation,Exam Type,Subject Category,Difficulty,Has Image,Image Reference,Status,Notes
1070,14,Part 8 General Education (200 Items).pdf,A,,,,,,,,Both,General Education,Cannot Determine,No,,Duplicate,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction. Duplicate or near-duplicate of row 975.
1071,14,Part 8 General Education (200 Items).pdf,A,,,,,,,,Both,General Education,Cannot Determine,No,,Duplicate,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction. Duplicate or near-duplicate of row 975.
1072,14,Part 8 General Education (200 Items).pdf,D,,,,,,,,Both,General Education,Cannot Determine,No,,Duplicate,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction. Duplicate or near-duplicate of row 976.
1073,14,Part 8 General Education (200 Items).pdf,B,,,,,,,,Both,General Education,Cannot Determine,No,,Duplicate,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction. Duplicate or near-duplicate of row 987.
1074,14,Part 8 General Education (200 Items).pdf,A,,,,,,,,Both,General Education,Cannot Determine,No,,Duplicate,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction. Duplicate or near-duplicate of row 975.
1075,14,Part 8 General Education (200 Items).pdf,C,,,,,,,,Both,General Education,Cannot Determine,No,,Duplicate,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction. Duplicate or near-duplicate of row 980.
1076,14,Part 8 General Education (200 Items).pdf,C,,,,,,,,Both,General Education,Cannot Determine,No,,Duplicate,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction. Duplicate or near-duplicate of row 980.
1077,14,Part 8 General Education (200 Items).pdf,B,,,,,,,,Both,General Education,Cannot Determine,No,,Duplicate,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction. Duplicate or near-duplicate of row 987.
1078,14,Part 8 General Education (200 Items).pdf,C,,,,,,,,Both,General Education,Cannot Determine,No,,Duplicate,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction. Duplicate or near-duplicate of row 980.
1079,14,Part 8 General Education (200 Items).pdf,A,,,,,,,,Both,General Education,Cannot Determine,No,,Duplicate,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction. Duplicate or near-duplicate of row 975.
1080,14,Part 8 General Education (200 Items).pdf,C,,,,,,,,Both,General Education,Cannot Determine,No,,Duplicate,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction. Duplicate or near-duplicate of row 980.
1081,14,Part 8 General Education (200 Items).pdf,A,,,,,,,,Both,General Education,Cannot Determine,No,,Duplicate,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction. Duplicate or near-duplicate of row 975.
1082,14,Part 8 General Education (200 Items).pdf,B,,,,,,,,Both,General Education,Cannot Determine,No,,Duplicate,Shared General Education Part 8 with trailing answer key where exposed. Answer key marker not found in extracted PDF text. Incomplete question/options after extraction. Duplicate or near-duplicate of row 987.
1083,2,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Matapos ang maghapong gawain siya ay lugami na.,Lubog,Yumaman,Nalungkot,Lupaypay,,D,Ang lugami ay may kaugnay na diwa sa maghapong gawain na panglupaypay o pagod.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1084,2,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Hindi ko sukat akalain na siya pala ay isang balakyot.,Marumi,Makasalanan,Mapanlinlang,Mabaho,,C,Ang angkop na diwa sa salitang balakyot ay mapanlinlang na may konseptong diwa na hindi nagpapakita ng totoong pagkatao o ugali.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1085,2,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ang damuho ay may asawa pala.,Salbahe,Kabiyak,Tanga,Di- mapagkakatiwalaan,,A,Ang salitang salbahe ay mas angkop na gamitin sa damuho dahil ito ay magkatulad ng diwa.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1086,3,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ang magkaibigan ay mag karatig pook lamang.,Kamasa,Kabihasnan,Kasing laki,Kalapit,,D,Ang salitang karatig ay kasing diwa ng kalapit na nangangahulugan din ng katabing pook.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1087,3,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ang abrigo na ibinigay sa may kaarawan ay makulay.,Pamaypay,Tela,Balabal,Banig,,C,Ang salitang abrigo ay kahulugan ng balabal na may makukulay na disenyo noong panahon ng Kastila. II. Piliin ang tamang salita na kasalungat ng salitang nakasalungguhit sa pahayag.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1088,4,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Masalimuot ang mga pangyayari sa pagkamatay ni Ramgen.,Magulo,Makulay,Maalalahanin,Mapayapa,,D,Kabaligtaran ng masalimuot o magulo ang mapayapa sa diwa ng pangyayaring naganap sa pagkamatay ni Ramgen.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1089,4,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Katunggali niya sa paligsahan ang kanyang matalik na kaibigan.,Kasamahan,Katalik,Kakampi,Kasulatan,,C,Kabaligtaran ng katunggali ang kakampi sa konsepto ng pakikipaglaban sa matalik na kaibigan.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1090,5,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ang pamilya Yulo ay may mababang-loob sa mga taong nangangailangan.,Maawain,Mapagpala,Matabil,Mayabang,,D,Kabaligtaran ng mababang-loob ang mayabang na may diwa ng pagmamalaki sa mga taong nangangailangan.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1091,5,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Maalyaw na buhay ang ibibigay ko sa aking mga anak.,Masarap,Mahirap,Masagana,Mahigpit,,B,Kabaligtaran ng maalyaw ang mahirap sa buhay na may diwa ng kakulangan o kakapusan sa buhay.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1092,6,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Malabay na punungkahoy ang makikita sa bakuran ni Mang Baste.,Mataba,Malusog,Payat,Putol,,C,Kabaligtaran ng malabay ay payat na may kaugnay na diwang kanipisan ng sanga ng punungkahoy. III. Piliin ang tamang sagot sa bawat tanong.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1093,7,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Nagbasa ______ maayos ang mag-aaral.,siya,nang,ng,sila,,B,Ginagamit ang nang kapag sinusundan ng pang-abay.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1094,7,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,______iinumin ka bang gamot?,Mayroon,Meron,May,Nang,,C,Ang may ay ginagamit kapag sinusundan ng pandiwa.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1095,7,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,"Ang mga regalong natira ay ______ Ayeng, Miguel at Joffrey.",para sa atin,para sa kanila,para sa iyo,para kina,,D,Ang kay at kina kapag sinasamahan ng para ay nagiging panandang kaalaman sa tao.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1096,7,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Anong uri ng tayutay ito? Dumadagundong ang tunog ng loud speaker sa mahinang dibdib ng matanda.,Onomatopeya o paghihimig,Apostrophe o pagtawag,Alliteration o pag-uulit,Antithesis o pagtatambis,,A,Ang dumadagundong ay paghihimig na nailalahad sa tulong ng tunog o himig ng salita.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1097,8,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ang mukha niya’y animo’y maamong tupa na sunudsunuran.,Metaphor o pagwawangis,Simile o pagtutulad,Metonomi o pagpapalit-tawag,Epigram o pagsalungat,,B,Ito ay payak na pagpapahayag na ginagamitan ng pagtutulad na gaya ng animo’y.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1098,8,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ang paalala ay gamot sa taong nakalilimot.,Simile o pagtutulad,Personification o Pagtatao,Hyperbole o pagmamalabis,Metaphor o pagwawangis,,D,Naghahambing ito subalit gumamit din ng tuwirang pagtutulad sa salitang gamot.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1099,9,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Sumisipol ang hanging amihan.,Hyperbole o pagmamalabis,Irony o pag-uyam,Metonymy o pagpapalit-tawag,Personification o pagsasatao,,D,Nagbibigay katauhan ang salitang pagsipol sa hanging amihan.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1100,9,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Alin ang kasingkahulugan ng pariralang nagbibilang ng poste?,mahusay magbilang,mahusay magtrabaho,walang poste,walang trabaho,,D,Matalinhagang salita ito na may kahulugang walang trabaho kung ikaw ay nagbibilang ng poste.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1101,10,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Alin ang kasingkahulugan ng pariralang buwaya sa katihan?,mapang-api,mapang-imbot,mapanukso,mapagmalabis,,B,Ang buwaya ay talinghagang naglalarawan sa taong mapag- imbot o sakim.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1102,10,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ano ang pokus ng pandiwa sa pangungusap na ito? IPANSULAT MO ANG LAPIS NA MAY TASA.,tagaganap,tagatanggap,sanhi,gamit,,D,Ang ipansulat ay nasa pokus ng gamit na lapis.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1103,11,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ang alpabeto ng ating mga ninuno noong panahong pre- kolonyal ay tinatawag na,alibata,alibaba,talibaba,abakada,,A,Tinatawag na alibata ang sinaunang alpabeto ng ating mga ninuno,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1104,11,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,"Ayon sa Bagong Saligang Batas (1987), ang Wikang Pambansa ng Pilipinas ay tatawaging",Pilifino,Filipino,Pilipino,Filifino,,B,Ang salitang Filipino ay opisyal na wikang pambansa ayon sa 1987 Konstitusyon ng Pilipinas.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1105,12,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,"Kapag tayo ay nabigo, bumangon tayo agad. Sakaling dumating ang daluyong, sandal siyang iiwas.",Payak,Tambalan,Hugnayan,Langkapan,,C,Ito ay may 2 sugnay na di makapag-iisa at isang sugnay na makapag-iisa.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1106,12,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ang mga mag-aaral ng Nolasco High School ay nagsayawan at nag-aawitan.,Payak,Tambalan,Hugnayan,Langkapan,,A,Ang pangungusap ay may isang sugnay na makapag-iisa.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1107,13,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ang kasiphayuan-kaligayahanay isang halimbawa ng______________.,pagkakatulad,pagsasalungatan,pagbibigay ng katangian,pagbubuo,,B,Magkabaligtad ito ng kahulugan.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1108,13,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ano ang nagaganap na pagbabagong morpoponemiko sa salitang may salungguhit? Nasa mesa ang mga kagamitan sa panlinis.,pagkaltas,asimilasyon,metatesis,reduplikasyon,,B,Ang salitang panlinis ay may panlaping pan na sinusundan ng katinig na l na nag-aasimila sa tunog na N.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1109,14,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Marumi ang kamay niya nang kumain.,pagpapalit ng ponema,metatesis,paglilipat diin,reduplikasyon,,A,Ang ponemang r sa salitang marumi ay malayang nagpapalitan sa letrang d na hindi nagbabago ang kahulugan. (Madumi-marumi),Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1110,14,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Asnan mo ang binili kong isda.,pagkakaltas ng ponema,paglilipat diin,asimilasyon,metatesis,,A,Ang salitang asnan ay mula sa salitang asinan na kinaltasan ng ponemang /i/ na hindi nagpabago sa kahulugan nito.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1111,15,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Aptan mo ang nasirang bubong.,metatesis,paglilipat diin,pagkakaltas ng ponema,pagpapalit ponema,,A,Ang salitang aptan ay mula sa salitang atipan na nagkaltas ng ponema at ang nagpalitan ng posisyon.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1112,15,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ano ang ibig sabihin nito “ wika ang kaluluwa ng isang lahi”,Ang wika ay kaluluwa ng isang lahi dahil naitatala nito ang kasaysayan,Ang wika ay may damdamin,Ang wika ay nakapagpapahayag ng niloloob ng tao,Ang tao at wika ay kapwa may kaluluwa.,,C,Napapahayag ng isang lahi sa pamamagitan ng wika ang kanyang niloloob.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1113,16,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,"Sina Nora Aunor at Vilma Santos ay kapwa mahuhusay na artista. Taglay nila ang kahusayan sa pag-arte, halos lahat ng kanilang pelikula ay nagbigay sa kanila ng acting awards. Si Nora ay tinaguriang “Superstar” at si Vilam naman ay tinaguriang “Star for all seasons”. Bagamat pareho silang sikat na artista, si Nora ay mahusay rin na mang-aawit at si Vilma ngayon ay mahusay na pulitiko.",Problema at solusyon,Depinisyon,Order o pagkakasunud-sunod,Paghahambing at Pagkokontrast,,D,Sa una pinaghambing na mahusay na artista sina Nora at Vilma at sa huli ipinakita ang pagkakaiba nila.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1114,16,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ang gitara ay isang uri ng instrumentong pangmusika na nahahanay o nauuri sa string. Upang tumunog ang instrumentong ito ay kailangan mo itong kalabitin ng kanang kamay at titipahin naman ng kaliwang kamay.,Paghahambing at Pagkokontrast,Sanhi at Bunga,Depinisyon,Enumerasyon,,C,Binigyan ng depinisyon kung ano at paano ginagamit ang gitara.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1115,17,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,"Ang isang set ng kompyuter ay binubuo ng mga sumusunod na bahagi: CPU, monitor, mouse, key board at avr. Ang opsyunal na bahagi nito ay printer at scanner. Ibig sabihin, maaaring wala ang mga kagamitang ito.",Enumerasyon,Depinisyon,Sanhi at Bunga,Order,,A,"Inisa-isa ang pangalan ng mga bahagi ng kompyuter. Basahin ang teksto sa ibaba at sagutan ang mga kasunod na aytem. Mag-isip ka, Binata Ikaw ay baguntao…. Malakas, makisig, matatag, maginoo, ikaw, tulad ng iyong ama ay magiging haligi ng tahanan. Huwaran mo ang iyong ama. Siya ang utak na namamatnugot sa inyong tahanan samantalang ang iyong ina ang siyang katuwang sa pagpapaligaya nito. Ikaw ay galamay ng iyong mga magulang. Ikaw ang pag-asa nila sa kanilang pagtanda. Ikaw ang dahilan ng kanilang pagpapakasakit. Dapat mong gantihan ng kabutihan ang kanilang paghihirap. Ngayong nag-aaral ka pa’y maaari kang tumulong sa anumang paraan. Ngunit ang higit nilang inaasahan sa iyo ay ang pagtatapos mo ng pag-aaral. Para kanino ang iyong pag-aaral? Ito’y para sa iyong kinabukasan, ipang ikaw ay maging matatag at nakahandang tumanggap ng pananagutan. Kaya dapat mong ibigin at igalang ang iyong mga magulang. Tungkulin mong paglingkuran sila nang buong lugod at kasiyahan. Huwag mo silang biguin sa pangarap nila sa iyo!",Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1116,18,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ang pananaw na ginamit sa teksto ay _____________,Unang panauhan,Ikalawang panauhan,Ikatlong panauhan,Walang ginamit,,B,Ang ikaw ay nasa ikalawang panahunan.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1117,19,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ang tono ng teksto ay __________________.,Mapangutya,Mapagbiro,Mapanghikayat,Mapanumbat,,C,Ang tono ay nanghihikayat sa binata na pagbutihin ang pag- aaral.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1118,19,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Sa pamagat ng teksto ay mahihinuhang______________.,Ang teksto ay nangangaral sa mga binata,Ang teksto ay nagbababala sa mga binata,Ang teksto ay isang pagsusulit para sa mga binata,Ang teksto ay isang pagtawag sa atensyon para sa mga binata,,B,Nagbababala ang tono ng pamagat sa pamamgitan ng pag-iisip.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1119,20,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ang ikalawang talata ng teksto ay gumamit ng hulwarang________________.,Depinisyon,Paghahambing at Pagkokontrast,Problema at solusyon,Enumerasyon,,C,Ibinigay sa teksto ang problema ng binata at binigyan din ito ng solusyon sa katapusan.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1120,20,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Anong uri ng tayutay ang napapaloob sa pahayag na ito? NALIGO NA SA HAMOG NG GABI ANG MGA BULAKLAK.,pagmamalabis,Pag-uuyam,pagpapalit-tawag,pagsasatao,,D,Ang salitang naligo ay isang pagsasatao.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1121,21,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ano ang tawag sa kabuuan ng mga katangian sa pagsasalita ng tao?,register,idyolek,sosyolek,mode . B – Ang bawat tao ay may kanya-kanyang katangianng pagsasalita na tinatawag na idyolek.,,B,Ang bawat tao ay may kanya-kanyang katangianng pagsasalita na tinatawag na idyolek.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. No embedded answer found. Correct answer and rationale recovered from embedded Filipino rationalization text.
1122,21,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,"Ang mga sumusunod na bokabularyo gaya ng court, pleading at exhibit ay tinatawag na___.",Sosyolek,Dayalek,Jargon,Idyolek . C – Ang mga ito ay tanging bokabularyo ng mga lawyer na tinatawag na jargon,,C,Ang mga ito ay tanging bokabularyo ng mga lawyer na tinatawag na jargon,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. No embedded answer found. Correct answer and rationale recovered from embedded Filipino rationalization text.
1123,22,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,"Sa pagbasa, ang kakayahan sa pagsasama-sama at pag-uugnay- ugnay ng mga nakaraan at ng mga bagong karanasan ay tinatawag na________.",persepsyon o pagkilala,pag-unawa,paghawan ng balakid,asimilasyon,,D,Asimilasyon ay pag-uugnay-ugnay ng mga bagong kaalaman sa dating mga kaalaman.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1124,22,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,"Upang matamo ang mahahalagang layunin sa maunlad na pagbasa, kailangan ang________.",kritikal na pag-iisip at pagpapahalaga sa mga binasa,imahinasyon,pagkilala sa kahinaan,interes at hilig ng bumabasa,,A,Layunin ng pagbasa na malinang ang kritikal na pag-iisip at pagpapahalaga sa binasa upang mapaunlad ito.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1125,23,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Upang matiyak kung paano magkaroon ng interaksyon ang nauunang kaalaman at karanasang pangkapaligiran na kaugnay sa binasa ang layunin ng teoryang_________.,panimulang pagbasa,pinatnubayang pagbasa,schema,semantic webbing,,C,Ang schema ay nag-uugnay sa karanasan at kaalaman na kaugnay sa binasa.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1126,23,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,"Sa pagtuturo ng pagbasa sa pangalawang wika,dapat isaalang- alang__________________.",ang simulain ng pagkakasunud-sunod ng mga yunit ng paksang aralin,ang pagtatala ng mahahalagang bahagi ng araling sasaklawin,ang bawat bahagi ng balarila,ang pagsasanay na transisyon,,A,"Ang mga simulain at ang pagkakasunud-sunod nito ang unang isinasaalang- alang sa pagtuturo ng pagbasa gamit ang pangalawang wika. At sa mga pulong dito’y nakasabog, nagkalat, nagpunla, nagsipanahan, nangagsipamuhay, nagbato’t nagkuta.",Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1127,24,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,"Sa saknong na ito, ang mga tunog na may salungguhit ay isang halimbawa ng ___________.",aliterasyon,tugma,asonasyon,onomatopeya . A – Aliterasyon ay paggamit ng magkatulad na titik o pantig sa simula ng pangungusap. “Kung tatanawin mo sa malayong pook Ako’y tila isang nakadipang krus.” (Halaw sa “ISANG PUNUNGKAHOY’ ni Jose Corazon De Jesus),,A,Aliterasyon ay paggamit ng magkatulad na titik o pantig sa simula ng pangungusap. “Kung tatanawin mo sa malayong pook Ako’y tila isang nakadipang krus.” (Halaw sa “ISANG PUNUNGKAHOY’ ni Jose Corazon De Jesus),Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. No embedded answer found. Correct answer and rationale recovered from embedded Filipino rationalization text.
1128,25,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ang taludtod sa itaas ay _______________.,patulad (simile),pahalintulad (analogy),patalinghaga (allegory),padiwangtao (personification),,A,"Payak na pagpapahayag na ginagamitan ng mga karaniwang parirala na tulad ng, gaya ng, tila at iba pa.",Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1129,25,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ang proseso ng paggamit sa Filipino sa iba’t ibang disiplina lalo na sa mga disiplinang siyentipiko at teknikal ay tinatawag na______________.,Istandardisasyon,Intelektwalisasyon,Bilinggualismo,Lingua-Franca,,B,Ang paggamit ng Filipino sa iba’t ibang disiplina ay proseso ng intelektwalisasyon.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
1130,25,1. FILIPINO LET 60 ITEMS WITH RATIONALIZATION.pdf,Ang wikang ginagamit sa isang partikular na lugar ay tinatawag na_____________.,Wikang Pambansa,Wiklang Ofisyal,Lingua-Franca,Unang Wika,,C,Ang lingua-franca ay isang wika na sinasalita sa isang partikular na lugar gaya ng Maynila.,Both,Filipino,Cannot Determine,No,,Ready for Upload,Filipino LET reviewer with correct letter and rationale immediately after each item. Correct answer and rationale are embedded after the item.
