No.,Source PDF,Source Path,Original No.,Page,Question,Choice A,Choice B,Choice C,Choice D,Choice E if there is,Correct Answer,Explanation,Exam Type,Subject Category,Topic Slug,Difficulty,Has Image,Image Reference,Image Path,Status,Notes
394,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,23,115,Malimit na may kabanggaan si Malou sa opisina dahil maanghang ang kanyang dila.,pikon,walang pakialam,masakit magsalita,masayahin,,C,Correct answer is marked in red in the source PDF: C.,Both,Verbal Ability,vocabulary-fil,2,No,,,Ready for Upload,Kawikaan. sub_topic:vocabulary-fil
395,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,24,115,Di napaunlakan ni Ana ang imbitasyong manood sila ng sine sapagkat butas ang kanyang bulsa.,sira ang pantalon,walang pera,nagtitipid,walang panahon,,B,Correct answer is marked in red in the source PDF: B.,Both,Verbal Ability,vocabulary-fil,2,No,,,Ready for Upload,Kawikaan. sub_topic:vocabulary-fil
396,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,25,115,Si Karl ay nagtataingang-kawali. Animo’y wala siyang naririnig kahit tinatawag na.,matigas ang tainga,mahina ang pandinig,barado ang tainga,nagbibingi-bingihan,,D,Correct answer is marked in red in the source PDF: D.,Both,Verbal Ability,vocabulary-fil,2,No,,,Ready for Upload,Kawikaan. sub_topic:vocabulary-fil
397,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,1,115-116,Katungkulan sinuman ang tumulong sa kanyang kapwa.,nang ng,namin,natin,,,A,Correct answer is marked in red in the source PDF: A.,Both,Verbal Ability,grammar-fil,2,No,,,Incomplete,Wastong Gamit. Missing one or more A-D choices. sub_topic:grammar-fil
398,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,2,116,ko kay Inay ang mga kaganapan sa aming paaralan sa isang buong papel.,Isinulat,Isinabi,Sinulat,Sinabi,,,,Both,Verbal Ability,grammar-fil,2,No,,,Needs Answer,Wastong Gamit. Could not uniquely map red answer text: Isinulat sub_topic:grammar-fil
399,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,3,116,Ang ng mga manlalaro ay dininig ng komite kahapon.,pakiusapan,pakikipag-usap,ipakiusap,pakiusap,,,,Both,Verbal Ability,grammar-fil,2,No,,,Needs Answer,Wastong Gamit. Could not uniquely map red answer text: pakiusap sub_topic:grammar-fil
400,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,4,116,Nagulat ang mga tao mabalitaan ang kaguluhang nagaganap sa Mindanao.,nang,ng,noon,datapwat,,,,Both,Verbal Ability,grammar-fil,2,No,,,Needs Answer,Wastong Gamit. Could not uniquely map red answer text: nang sub_topic:grammar-fil
401,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,5,116,mo si Chin ng damit sa kabinet.,Kunin,Utusan,Hanapan,Hanapin,,C,Correct answer is marked in red in the source PDF: C.,Both,Verbal Ability,grammar-fil,2,No,,,Ready for Upload,Wastong Gamit. sub_topic:grammar-fil
402,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,6,116-117,suliranin ng pagtaas ng presyo ng gasolina ang pinakapaksa ng pulong sa kasalukuyan.,Hinggil kay,Ayon kay,Hinggil sa,Ayon sa,,C,Correct answer is marked in red in the source PDF: C.,Both,Verbal Ability,grammar-fil,2,No,,,Ready for Upload,Wastong Gamit. sub_topic:grammar-fil
403,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,7,117,Ang paglalakbay Magellan noong 1521 ang naging dahilan kung bakit nakilala ang Pilipinas sa ibang bansa.,ni,daw,sa,para kay,,A,Correct answer is marked in red in the source PDF: A.,Both,Verbal Ability,grammar-fil,2,No,,,Ready for Upload,Wastong Gamit. sub_topic:grammar-fil
404,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,8,117,Ang pagkakalat o pagtatapon sa kung saan-saan ay batas.,sang-ayon,hinggil sa,laban sa,labag sa,,D,Correct answer is marked in red in the source PDF: D.,Both,Verbal Ability,grammar-fil,2,No,,,Ready for Upload,Wastong Gamit. sub_topic:grammar-fil
405,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,9,117,Pinatay mga Hapones si Jose Abad Santos nang tanggihan niyang ibunyag ang lihim ng mga kilusang Pilipino laban sa kanila.,namin,ng,nang,noong,,,,Both,Verbal Ability,grammar-fil,2,No,,,Needs Answer,Wastong Gamit. Could not uniquely map red answer text: ng sub_topic:grammar-fil
406,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,10,117,mo naman sa kanila na magdala ng mapagsasaluhan.,Usapin,Usap-Usapan,Ipakiusap,Pakiusap,,,,Both,Verbal Ability,grammar-fil,2,No,,,Needs Answer,Wastong Gamit. Could not uniquely map red answer text: Ipakiusap sub_topic:grammar-fil
407,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,11,117-118,"G. at Gng. Reyes, matagal na nilang pinag-iipunan ang pangtustos sa pag-aaral mo sa kolehiyo.",Ayon sa,Ayon kay,Ayon kina,Sang-ayon kina,,,,Both,Verbal Ability,grammar-fil,2,No,,,Needs Answer,Wastong Gamit. Could not uniquely map red answer text: Ayon kina sub_topic:grammar-fil
408,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,12,118,ni Emilio Jacinto ang Kartilya na naglalaman ng adhikain ng Katipunan.,Winika,Sinulatan,Isinabi,Nalaman,,A,Correct answer is marked in red in the source PDF: A.,Both,Verbal Ability,grammar-fil,2,No,,,Ready for Upload,Wastong Gamit. sub_topic:grammar-fil
409,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,13,118,Dumating ang Lola kami’y nagdiwang,kaya,kung,marahil,siguro,,A,Correct answer is marked in red in the source PDF: A.,Both,Verbal Ability,grammar-fil,2,No,,,Ready for Upload,Wastong Gamit. sub_topic:grammar-fil
410,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,14,118,Ang pagbabara ng mga estero ay dulot walang pakundangang pagtatapon ng basura.,rin,ng,natin,nila,,B,Correct answer is marked in red in the source PDF: B.,Both,Verbal Ability,grammar-fil,2,No,,,Ready for Upload,Wastong Gamit. sub_topic:grammar-fil
411,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,15,118,maaari ay magtipid tayo nang husto.,Kung,Dahil,Bagamat,Mandin,,A,Correct answer is marked in red in the source PDF: A.,Both,Verbal Ability,grammar-fil,2,No,,,Ready for Upload,Wastong Gamit. sub_topic:grammar-fil
412,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,16,118,Mapadali ang ating gawain tayo ay magtutulung-tulungan.,upang,kung,kahit,ngunit,,B,Correct answer is marked in red in the source PDF: B.,Both,Verbal Ability,grammar-fil,2,No,,,Ready for Upload,Wastong Gamit. sub_topic:grammar-fil
413,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,17,118-119,Masaya sila napakaraming pagsubok ang dumarating sa kanilang pamilya.,sapagkat,marahil,kahit,kung,,C,Correct answer is marked in red in the source PDF: C.,Both,Verbal Ability,grammar-fil,2,No,,,Ready for Upload,Wastong Gamit. sub_topic:grammar-fil
414,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,18,119,pagod na pagod na sa biyahe si Rey ay nagawa pa rin niya ang mag-aral.,Bagaman,Maliban,Samakatwid,Maging,,A,Correct answer is marked in red in the source PDF: A.,Both,Verbal Ability,grammar-fil,2,No,,,Ready for Upload,Wastong Gamit. sub_topic:grammar-fil
415,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,19,119,Patuloy tayong maghahalinhinan sa pagroronda di pa nahuhuli ang magnanakaw.,samantala,hanggang,palibhasa,bagaman,,B,Correct answer is marked in red in the source PDF: B.,Both,Verbal Ability,grammar-fil,2,No,,,Ready for Upload,Wastong Gamit. sub_topic:grammar-fil
416,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,20,119,Nagtatalon sa tuwa si Regina mapanalunan ang patimpalak sa pagsusulat ng maikling kuwento.,subalit,disin sana’y,nang,ng,,,,Both,Verbal Ability,grammar-fil,2,No,,,Needs Answer,Wastong Gamit. Could not uniquely map red answer text: nang sub_topic:grammar-fil
417,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,21,119,Hindi maaaring ibilanggo ang sino man dahil kanyang pagkakautang.,na,ng,nang,sa,,D,Correct answer is marked in red in the source PDF: D.,Both,Verbal Ability,grammar-fil,2,No,,,Ready for Upload,Wastong Gamit. sub_topic:grammar-fil
418,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,22,119-120,Nagpapatugtog sila awiting Pilipino.,sa,nang,ng,na,,,,Both,Verbal Ability,grammar-fil,2,No,,,Needs Answer,Wastong Gamit. Could not uniquely map red answer text: ng sub_topic:grammar-fil
419,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,23,120,Ang ng mga mamamayan na huwag munang magtaas ng presyo ng langis ay pinag-aaralan ng kinauukulan.,usapin,pakiusapan,ipakiusap,pakiusap,,,,Both,Verbal Ability,grammar-fil,2,No,,,Needs Answer,Wastong Gamit. Could not uniquely map red answer text: pakiusap sub_topic:grammar-fil
420,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,24,120,Hindi nabibigyang lunas ang sakit na AIDS sa ngayon.,pa,na,sa,ka,,A,Correct answer is marked in red in the source PDF: A.,Both,Verbal Ability,grammar-fil,2,No,,,Ready for Upload,Wastong Gamit. sub_topic:grammar-fil
421,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,25,120,bang suliranin na hindi kayang lutasin?,May,Mayroon,Sino,Anong,,,,Both,Verbal Ability,grammar-fil,2,No,,,Needs Answer,Wastong Gamit. Could not uniquely map red answer text: Mayroon sub_topic:grammar-fil
422,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,26,120,patimpalak sa Balagtasan na gaganapin sa plasa.,May,Mayroon,Anong,Bakit,,,,Both,Verbal Ability,grammar-fil,2,No,,,Needs Answer,Wastong Gamit. Could not uniquely map red answer text: May sub_topic:grammar-fil
423,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,27,120,ba nagkaroon ng isang bulkan?,Sino,Alin,Ano,Paano,,,,Both,Verbal Ability,grammar-fil,2,No,,,Needs Answer,Wastong Gamit. Could not uniquely map red answer text: Paano sub_topic:grammar-fil
424,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,28,121,natin ang ating kapwang nangangailangan ng tulong.,Abutan,Kunin,Abutin,Kunan,,A,Correct answer is marked in red in the source PDF: A.,Both,Verbal Ability,grammar-fil,2,No,,,Ready for Upload,Wastong Gamit. sub_topic:grammar-fil
425,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,29,121,Huwag mong ang sino mang nasa kapangyarihan kung nais mo lamang makakuha ng pabor.,abutin,abutan,kunin,kunan,,B,Correct answer is marked in red in the source PDF: B.,Both,Verbal Ability,grammar-fil,2,No,,,Ready for Upload,Wastong Gamit. sub_topic:grammar-fil
426,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,30,121,mo ang mabibigat na dalahin ng Inay.,Abutan,Tanawin,Kunin,Kunan,,C,Correct answer is marked in red in the source PDF: C.,Both,Verbal Ability,grammar-fil,2,No,,,Ready for Upload,Wastong Gamit. sub_topic:grammar-fil
427,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,1,138,What do you call the introductory part of the Constitution?,Preface,Amendments,Preamble,Bill of Rights,,C,Correct answer is marked in red in the source PDF: C.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
428,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,2,138,What form of government does the Philippines adopt?,Republican,Democratic,neither a nor b,both a and b,,D,Correct answer is marked in red in the source PDF: D.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
429,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,3,138,What is the power of the State to take private property for public use upon payment of a just compensation?,right of confiscation,right of limiting resources,right of sequestration,right of eminent domain,,D,Correct answer is marked in red in the source PDF: D.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
430,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,4,138,Who among the following may issue a warrant of arrest or a search warrant?,a senator,a judge,a congressman,the President,,,,Both,General Information,constitution,2,No,,,Needs Answer,Constitution. Could not uniquely map red answer text: b. a judge c. d. sub_topic:phil-government
431,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,5,138-139,A foreigner may acquire Filipino citizenship through,naturalization,extradition,rebirth,Visa application,,A,Correct answer is marked in red in the source PDF: A.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
432,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,6,139,The right to vote is also known as .,suffrage,naturalization,democracy,plebiscite,,A,Correct answer is marked in red in the source PDF: A.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
433,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,7,139,How many Senators are there in the Senate?,twenty-five,twenty-four,twelve,thirty,,B,Correct answer is marked in red in the source PDF: B.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
434,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,8,139,What is the minimum age requirements of a Senator?,thirty,twenty-five,twenty,thirty-five,,,,Both,General Information,constitution,2,No,,,Needs Answer,Constitution. Could not uniquely map red answer text: thirty-five sub_topic:phil-government
435,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,9,139,Which of the following bills do not originate from the House of Representative?,Appropriation bills,Revenue of tariff bills,Amnesty,Private bills,,C,Correct answer is marked in red in the source PDF: C.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
436,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,10,139,The Members of the Lower House are,elected by region and by party list,elected by region and appointed by the President,elected by district and party list,elected by district and appointed by the Senators,,C,Correct answer is marked in red in the source PDF: C.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
437,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,11,139-140,The legislative power of the government shall be vested in the,President,Congress,Supreme Court,all of the above,,B,Correct answer is marked in red in the source PDF: B.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
438,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,12,140,Which of the following may disqualify a person from running for Presidency?,He is sixty years old on the day of the election.,He lived abroad five years preceding the election.,He has Filipino parents but was born in the United States.,He is a registered voter.,,B,Correct answer is marked in red in the source PDF: B.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
439,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,13,140,Which of the following shows the transfer of power should the President be incapable of discharging his duties?,President - → Vice-President - → Senate President - → House Speaker,President -→ Vice-President -→ Chief Justice -→ Senate President,President -→ Vice-President -→ Chief Justice -→ House Speaker,President -→ Vice-President -→ House Speaker -→ Senate President,,A,Correct answer is marked in red in the source PDF: A.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
440,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,14,140,A member of the Supreme Court,"must have been for fifteen years or more, a judge of a lower court.","must have been for ten years, a judge of the Court of Appeals",may not be a member of the Philippine Bar,may be a naturalized citizen,,A,Correct answer is marked in red in the source PDF: A.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
441,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,15,140,The Supreme Court is composed of,a Chief Justice and fourteen Associate Justices,two Chief Justices and fourteen Associate Justices,a Chief Justic and twelve Associate Justices,a Chief Justice and an indefinite number of Associate Justices,,A,Correct answer is marked in red in the source PDF: A.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
442,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,16,140-141,Which of the following is a Constitutional Commission?,Commission of Human Rights,Philippine Commission on Good Government,Civil Service Commission,Commission on Natural Resources,,C,Correct answer is marked in red in the source PDF: C.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
443,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,17,141,What branch of government has the sole right to initiate all cases of impeachment?,Senate,Commission of Election,House of Representative,Judiciary,,C,Correct answer is marked in red in the source PDF: C.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
444,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,18,141,Which of the following is not removable from office by impeachment?,Member of the Supreme Court,Member of the Constitutional Commissions,The Ombudsman,Senators,,D,Correct answer is marked in red in the source PDF: D.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
445,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,19,141,The national language of the Philippines is,Pilipino,English and Filipino,Tagalog,Filipino,,,,Both,General Information,constitution,2,No,,,Needs Answer,Constitution. Could not uniquely map red answer text: Filipino sub_topic:phil-government
446,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,20,141,"Who may propose any amendment to, or revision of the Constitution?",Congress or a Constitutional Convention,Congress and a Constitutional Convention,Judiciary and Congress,Judiciary and Constitutional Convention,,A,Correct answer is marked in red in the source PDF: A.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
447,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,21,141,What tax is paid by individuals who derive compensation income?,Value added tax,Excise tax,Income tax,Real estate tax,,C,Correct answer is marked in red in the source PDF: C.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
448,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,22,141-142,When is the deadline for filing income tax returns for every taxable year?,April 15,April 30,March 15,March 30,,A,Correct answer is marked in red in the source PDF: A.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
449,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,23,142,Which of the following statements is true about taxes?,It is a voluntary payment,It is payable both in cash and in kind,It is an enforced contribution,It is based on one’s desire to pay.,,C,Correct answer is marked in red in the source PDF: C.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
450,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,24,142,"What tax is imposed on one’s right to transmit property at death, and is measured by the value of the property?",Excise tax,Withholding tax,Donor’s tax,Estate tax,,D,Correct answer is marked in red in the source PDF: D.,Both,General Information,constitution,2,No,,,Ready for Upload,Constitution. sub_topic:phil-government
